Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,MO,2019,12,Male,17,Right-Handed,188,26,185,2,Car,7,.3416,31,Walking/Hiking,1000,800,610,1000,500,400,27,Left foot,95,103,Ring finger,May,Spring,No,No,Breads/Sandwiches,Coffee,Mathematics and statistics,6,10,4,Yes - broadband connection,Cell phone,10,13,10,2,7,30,2,35,5,3,24,0,4,2,Very little,Graduate degree,Rap/Hip hop,Invisibility,Rich,Relative,Wildlife animals
USA,NY,2019,6,Male,12,Ambidextrous,156,23,148,4,Bus,7,.14,40,Soccer,1000,700,200,900,500,600,23,Same length,180mm,90mm,Index finger,August,Summer,Yes,No,Meat,Water,Science,9-10,8-9,5,Yes - other,Other,30,50,35,4,5,6,9,6,7,1,7,0,6,2,Some,Other,Rock and roll,Fly,Rich,Community leader or elder,Health
USA,OR,2019,10,Male,14,Right-Handed,171,26.5,179.5,1,Bicycle,8,0.89,45,Cycling,1000,1000,1000,1000,300,500,25.5,Right foot,100,107,Ring finger,September,Winter,No,No,Seafood,Water,Music,7,6,3,Yes - broadband connection,Myspace Facebook other social networking sites or blog,4,10,80,4,4,4,12,5,16,18,20,10,0,16,Some,Graduate degree,Other,Fly,Famous,Religious figure,Religious
USA,NC,2019,7,Male,13,Right-Handed,159,24,164,2,Walk,18,0.453,40,Baseball/Softball,1000,578,845,727,262,1000,26,Left foot,7.5,7,Index finger,April,Summer,Yes,No,Pizza/Pasta,Tea,Physical education,7,7,8,Yes - broadband connection,Myspace Facebook other social networking sites or blog,28,79,21,14,0,28,21,28,28,84,84,0,10,21,Very little,Undergraduate degree,Rap/Hip hop,Super strength,Happy,Relative,Health
USA,WA,2019,11,,,,167,,,,,,.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,OH,2019,12,Female,18,Right-Handed,162.5,,,1,Car,8,,,Soccer,,,,,,,,,70,75,Ring finger,August,Fall,No,No,Meat,Water,English,9,11,5,,Myspace Facebook other social networking sites or blog,91,91,,,,,,,,,,,,,Some,Graduate degree,Pop,Telepathy,Rich,Coach or club leader,Wildlife animals
USA,AZ,2019,12,Female,18,Right-Handed,154.9,21.59,147.3,1,Car,5,0.812,48,Dancing,200,200,200,200,900,1000,21.59,Same length,76.2,76.2,Same length,August,Summer,Yes,No,Soups,Water,Other,7,10,5,Yes - broadband connection,In person,10,7,7,1,4,4,2,3,0,2,5,0,8,3,Some,Graduate degree,Pop,Fly,Happy,Relative,Religious
USA,MA,2019,12,Male,17,Right-Handed,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2019,11,Male,17,Right-Handed,162,23,120,2,Car,10,0.34,27,Soccer,900,600,900,900,900,1000,22,Same length,73,78,Ring finger,November,Winter,,No,Pizza/Pasta,Water,Computers and technology,8,10,3,Yes - broadband connection,Internet chat or instant messaging,4,6,8,0,50,12,1,8,4,1,80,0,0,2,A lot,Graduate degree,Pop,Freeze time,Happy,Relative,Environment
USA,NE,2019,12,Female,17,Right-Handed,168,23,157,1,Car,15,0.665,37,Bowling,1000,1000,1000,1000,1000,1000,23,Same length,600,700,Ring finger,December,Fall,Yes,Yes,Pizza/Pasta,Water,English,7,9,3,Yes - broadband connection,In person,105,147,5,1,16,8,0,6,4.5,4,7.5,7,0,4,A lot,Graduate degree,Rap/Hip hop,Invisibility,Happy,Relative,Environment
USA,WA,2019,11,Male,17,Right-Handed,178,27,188,2,Car,10,.55,51,Football (American),700,500,400,300,100,100,27,Same length,90,95,Ring finger,June,Winter,No,No,Fruit,Water,Physical education,6-8,9,5,Yes - other,Myspace Facebook other social networking sites or blog,10,10,5,2,10,15,12,0,11,5,2,6,0,4,Some,Graduate degree,Reggae,Fly,Happy,Sports person,Wildlife animals
USA,IN,2019,8,Male,14,Right-Handed,173.9,28.45,177.2,2,Bus,7,0.383,49,Athletics,652,759,599,947,465,807,27.68,Right foot,119.4,119.4,Same length,July,Spring,Yes,No,No favorite,Water,Other,8.25,9,7,Yes - broadband connection,Myspace Facebook other social networking sites or blog,100,200,5,0,5,10,15,2,16,15,4,1,0,2,A lot,Graduate degree,Rap/Hip hop,Invisibility,Happy,Community leader or elder,Wildlife animals
USA,CO,2019,12,Male,17,Right-Handed,180.4,26.9,183,1,Car,6,.32,74,Basketball,300,400,700,100,800,1000,26.2,Right foot,8,9.5,Ring finger,August,Summer,No,No,Meat,Milk,Geography,221,56,3,No internet connection,,57,32,2,4,35,5,3,2,53,5,5,7,90,0,Very little,High school,Rap/Hip hop,Super strength,Rich,Sports person,Arts culture sports
USA,IL,2019,10,Male,15,Right-Handed,165,25,165,2,Car,15,322,59,Soccer,957,476,401,455,251,1000,25,Same length,7 1/2,7,Index finger,May,Summer,No,No,Rice/Noodle dishes,Water,Computers and technology,7/8,10,4,Yes - other,In person,56,70,7 h,30m,10m,24h,24h,12h,12h,10h,24h,3h,0h,3h,Some,Graduate degree,Other,Invisibility,Happy,Sports person,Religious
USA,CA,2019,7,Female,12,Right-Handed,154,24,159,1,Car,10,0.372,54,Other,840,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2019,12,Female,17,Right-Handed,162,26,135,2,Car,20,0.872,20,None,100,100,100,100,200,200,26,Same length,60,70,Ring finger,June,Winter,No,No,Rice/Noodle dishes,Water,Science,5,6,4,Yes - broadband connection,In person,13,15,0,2,35,0,0,0,7,5,6,0,0,0,A lot,Graduate degree,Pop,Freeze time,Happy,Musician or singer,Health
