Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation,School
USA,OR,2019,10,Female,15,Right-Handed,71,25,163,2,Car,15,0.737,56,Dancing,400,500,600,700,800,900,26,Left foot,91,90,Index finger,September,Fall,No,No,No favorite,Water,Languages,8,8,4,Yes - other,"Myspace, Facebook, other social networking sites, or blog",3,3,15,5,5,0,0,0,6,6,6,5,0,5,Some,Some college,Country,Telepathy,Rich,Friend,Education/Youth development,high
USA,OR,2017,12,Male,17,Right-Handed,157,22,150,2,Boat,3,0.41,60,Basketball,999,999,999,999,999,1000,22,Right foot,7,8,Index finger,February,Summer,No,No,Meat,Tea,English,7,8,5,Yes - broadband connection,Text messaging,100,100,15,5,5,5,5,5,5,5,5,5,5,5,A lot,Graduate degree,Rap/Hip hop,Invisibility,Rich,Musician or singer,Religious,high
USA,OR,2019,10,Female,15,Right-Handed,164,26,164,2,Car,20,0.117,47,Swimming,1000,1000,300,300,700,1000,26,Same length,78,70,Ring finger,March,Summer,Yes,No,Breads/Sandwiches,Milk,Physical education,8,10,5,Yes - other,Text messaging,1000,1000,10,4,5,10,10,1,0,30,30,4,0,5,A lot,Some college,Rap/Hip hop,Invisibility,Rich,Teacher,Environment,high
USA,OR,2019,10,Male,17,Right-Handed,168,26,168,1,Car,12,0.6,45,Football (American),900,700,200,650,100,300,26,Same length,85,88,Ring finger,July,Winter,No,No,Meat,Water,History,6,9,4,Yes - broadband connection,Text messaging,6,8,14,1,0,4,5,11,2,6,9,4,5,5,A lot,Some college,Rock and roll,Freeze time,Rich,Relative,Environment,high
USA,OR,2019,10,Female,15,Right-Handed,169,25,69,1,Bus,20,0.699,45,Baseball/Softball,985,800,400,789,900,950,24,Right foot,6.9,7.2,Ring finger,June,Spring,Yes,No,Fruit,Water,History,7,9,4,Yes - broadband connection,Text messaging,60,68,4,3,5,3,1,2,4,4,3,2,1,5,Some,Other,Other,Telepathy,Rich,Religious figure,Environment,high
USA,OR,2014,12,Male,17,Right-Handed,180,27,176,1,Walk,30,0.345,40,Other,600,600,500,700,750,850,27,Same length,72,78,Ring finger,October,Winter,No,Yes,Rice/Noodle dishes,Juice,Languages,6,11,5,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",100,100,24,1,5,1,7,40,5,10,49,1,0,5,Some,Graduate degree,Other,Invisibility,Rich,Other,International aid,high
USA,OR,2017,12,Male,17,Right-Handed,172.7,28,178,1,Car,5,0.283,41,Basketball,1000,1000,1000,1000,500,800,28,Same length,63,66,Ring finger,August,Summer,Yes,No,Seafood,Water,Computers and technology,6,13,7,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",11,10,15,2,10,15,2,15,2,24,100,0.2,0,5,A lot,Graduate degree,Rap/Hip hop,Fly,Rich,Relative,Health,high
USA,OR,2016,12,Female,17,Left-Handed,157,22,150,2,Walk,8,0.34,55,Other,890,645,1000,987,1000,1000,24,Left foot,6.5,6.9,Ring finger,August,Fall,No,No,Seafood,Water,Music,5.5,8.5,5,Yes - broadband connection,Text messaging,10,35,3,0,4,20,2,0,4,3,86,0,0,5,A lot,Graduate degree,Other,Telepathy,Rich,Musician or singer,"Arts, culture, sports",high
USA,OR,2017,9,Female,14,Right-Handed,175.3,24,176,1,Car,4,0.444,48,Baseball/Softball,647,369,620,465,364,503,23,Right foot,70,75,Ring finger,September,Summer,Yes,No,Fruit,Soft drink (caffeinated),Other,6,10,2,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",17,23,50,2,1,3,10,0,24,10,160,100,0,4,Some,Graduate degree,Pop,Telepathy,Rich,Relative,Education/Youth development,high
USA,OR,2018,9,Male,16,Right-Handed,175,77,177,1,Bus,20,0.381,57,Skateboarding/Rollerblading,0,0,500,500,400,1000,27,Same length,25,25,Same length,September,Fall,Yes,No,Meat,Juice,Other,8,11,6,No internet connection,Cell phone,3,4,40,0,4,8,10,5,5,1,9,10,0,4,A lot,Other,Rap/Hip hop,Super strength,Rich,Musician or singer,Health,high
USA,OR,2019,10,Male,17,Right-Handed,182,29,,1,Car,15,0.791,36,Baseball/Softball,500,800,800,800,600,950,30,Left foot,9.5,8.5,Index finger,August,Summer,Yes,No,No favorite,Water,Mathematics and statistics,5,10,6,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",5,4,10,1,14,20,0,10,20,0,20,5,25,4,Very little,Graduate degree,Pop,Freeze time,Rich,Relative,"Wildlife, animals",high
